"사망원인별(237항목)","성별","연령(5세)별",1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"목뼈 원판 및 기타 추간판 장애 (M50-M51)","계","계",0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
"연조직 장애 (M60-M79)","계","계",0.9,0.7,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.7,0.8,0.9,0.8,0.6,0.5,0.7,0.6,0.4,0.4,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
"골다공증 (M80-M81)","계","계",0.0,-,-,-,0.0,-,0.0,0.0,0.0,0.1,0.1,0.2,0.5,0.5,0.6,0.8,1.1,1.0,1.2,2.5,2.3,1.4,1.3,1.4,1.8,1.3,1.4,1.4,1.2,1.2,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.8,0.7,0.9,0.9,1.1
"기타 뼈 밀도 및 구조장애 (M83-M85)","계","계",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.8,0.8,0.6,0.6,0.5,0.9,1.1,0.7,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
"골수염 (M86)","계","계",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"나머지 근육골격계통 및 결합 조직의 질환 (Re. M00- M99)","계","계",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.7,0.6,0.4,0.4,0.6,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.3,0.2,0.3,0.3,0.3
"사구체 질환 (N00-N07)","계","계",2.9,2.4,2.2,2.1,1.6,1.2,1.2,0.9,0.7,0.8,0.7,0.8,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"급성 신부전 (N17)","계","계",0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.4,0.4,0.5,0.8,0.6,0.6,0.6,0.5,0.4,0.5,0.5,0.5,0.7,0.8,1.1,1.1,1.2,1.3,1.3,1.1,1.5,1.6,1.8,2.2,2.2,2.5,2.7,2.9,3.0,2.9
"만성 신장질환 (N18)","계","계",0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.7,1.3,1.9,2.2,2.1,1.9,1.9,2.1,2.1,2.4,2.9,3.5,4.3,4.2,4.5,4.4,4.5,5.3,5.9,5.7,5.8,5.7,6.2,6.6,6.7,7.3,7.3,7.2,7.5,8.1,8.7,9.1,9.9,10.0,11.5
"상세불명의 신부전 (N19)","계","계",0.5,0.5,0.7,0.8,0.8,1.2,1.0,1.0,0.8,0.5,0.4,0.8,1.0,1.0,1.2,1.6,1.5,1.6,1.3,0.8,0.4,0.4,0.5,0.5,0.5,0.7,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.3,1.3,1.4,1.5,1.6,1.8,1.8,1.9,1.8
"나머지 비뇨생식계통 질환 (Re. N00- N98)","계","계",1.0,1.0,1.0,1.0,0.8,1.0,0.9,0.8,0.9,0.9,1.1,1.2,1.0,1.0,1.1,1.2,1.2,1.2,1.3,0.9,0.8,0.8,0.8,0.9,1.2,1.2,1.5,1.8,2.0,2.3,2.2,2.5,2.8,3.6,4.3,4.7,4.8,5.2,5.3,5.2,5.1,5.1
"임신, 출산 및 산후기 (O00-O99)","계","계",0.5,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1
"임신기간 및 태아발육과 관련된 장애 (P05-P08)","계","계",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.4,0.3,0.6,0.5,0.6,0.5,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"자궁내 저산소증, 출산 질식 및 신생아의 호흡곤란 (P20-P22)","계","계",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.1,0.1,0.1,0.1,0.7,0.9,1.1,0.8,0.9,0.8,0.6,0.6,0.7,0.6,0.7,0.8,0.7,0.7,0.5,0.5,0.5,0.4,0.3,0.3,0.2,0.1,0.2,0.1,0.1,0.1
"나머지 출생전후기에 기원한 특정병태 (Re. P00- P96)","계","계",0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,1.3,1.5,1.8,1.4,1.2,1.2,0.9,0.9,1.0,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.5,0.5,0.4,0.4,0.3,0.3,0.3
"신경계통의 선천 기형 (Q00-Q07)","계","계",0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1
"심장의 선천 기형 (Q20-Q24)","계","계",1.2,1.4,1.7,1.7,1.4,2.0,2.2,2.0,2.2,2.1,1.9,1.7,1.5,1.3,1.2,0.8,1.0,0.9,1.0,0.9,0.7,0.6,0.5,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2
"기타 순환기계통의 선천 기형 (Q25-Q28)","계","계",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1
"나머지 선천 기형, 변형 및 염색체 이상 (Re. Q00- Q99)","계","계",0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.7,0.7,0.5,0.6,0.5,0.4,0.7,0.7,0.7,0.8,0.7,0.6,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4
"노쇠 (R54)","계","계",114.2,105.5,77.0,71.2,80.6,77.3,63.4,58.0,49.3,43.3,38.0,46.2,69.7,74.1,80.9,71.7,74.2,58.1,50.5,43.2,47.3,54.3,56.4,55.2,47.2,42.3,36.4,33.4,30.3,29.7,28.7,27.5,27.6,28.3,26.7,28.0,26.3,30.8,34.4,41.9,40.4,40.9
"영아 급사 증후군 (R95)","계","계",1.3,0.9,0.7,0.8,0.4,0.1,0.1,0.0,0.3,0.5,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"원인 미상의 기타 급사 (R96)","계","계",0.1,0.0,0.2,-,0.0,0.0,0.0,0.0,0.3,0.2,0.4,0.4,0.6,0.4,0.6,1.0,1.6,1.4,1.2,1.0,1.2,1.3,1.2,1.5,1.7,2.2,1.9,2.3,1.9,2.0,2.2,2.1,1.9,1.8,1.6,1.7,1.7,1.7,1.7,1.9,1.7,1.7
"나머지 달리 분류되지 않은 증상, 징후 (Re. R00- R99)","계","계",94.6,59.3,95.2,108.4,108.9,98.5,101.9,108.3,106.3,64.4,35.5,27.5,10.5,12.1,13.1,13.5,13.4,12.8,9.9,7.3,8.2,8.0,8.7,8.7,9.0,11.4,13.5,16.0,17.4,18.0,17.5,17.1,18.2,18.7,21.4,25.6,26.7,29.3,37.5,42.0,39.5,39.2
"육상 운수사고 (V01-V89)","계","계",10.9,13.2,15.7,16.3,19.3,19.6,26.3,32.3,32.3,30.9,30.5,33.8,38.0,37.9,32.8,25.6,26.0,25.0,20.5,18.6,18.8,16.8,16.0,15.8,15.3,14.5,14.1,13.4,12.4,12.7,11.7,10.8,10.7,9.9,9.6,8.9,8.0,7.5,6.9,6.6,6.3,6.2
"수상 운수사고 (V90-V94)","계","계",0.4,0.7,0.9,0.8,1.0,0.7,0.8,0.8,0.8,0.9,1.1,0.7,0.7,0.6,0.5,0.2,0.4,0.5,0.5,0.4,0.3,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2
"항공 및 기타 운수사고 (V95-V99)","계","계",0.2,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
"낙상(추락) (W00-W19)","계","계",6.5,6.3,5.9,6.3,7.1,7.4,4.0,3.0,2.5,3.3,4.0,5.0,5.3,5.1,5.2,4.9,5.6,5.8,5.8,6.6,7.3,6.9,6.5,7.0,6.1,5.0,4.3,4.3,4.3,4.2,4.6,4.5,4.6,5.1,5.2,5.2,5.2,5.2,5.3,5.3,4.9,5.6
"폭발 (W35-W40)","계","계",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1
"나머지 무생물성 기계적 힘에 노출 (Re. W20- W49)","계","계",0.4,0.6,0.8,0.7,0.4,0.5,0.5,0.9,0.8,1.1,1.4,1.8,2.3,1.0,0.8,0.6,0.6,0.6,0.7,0.8,0.9,0.9,0.9,0.9,0.9,1.0,1.0,0.9,0.9,1.0,0.9,0.8,0.9,0.8,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7
"불의의 익사 및 익수 (W65-W74)","계","계",6.9,7.2,6.3,5.4,6.2,5.3,4.6,3.5,4.3,4.8,4.4,5.3,3.9,4.0,3.7,4.0,3.4,3.5,2.7,2.0,1.9,2.0,1.8,1.6,1.5,1.4,1.2,1.3,1.3,1.4,1.2,1.1,1.2,1.3,1.1,1.1,0.9,1.0,0.9,0.9,1.0,0.9
"기타 불의의 호흡 위협 (W75-W84)","계","계",1.0,0.8,0.8,1.2,1.7,1.6,1.2,1.1,0.7,0.8,1.3,1.1,1.2,1.0,1.1,1.3,1.1,0.9,1.2,1.3,1.1,1.1,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.2,1.1,1.1,1.1,1.3,1.2,1.3,1.4,1.5,1.4,1.7,1.6,1.5
"전류, 방사선 및 극순환 기온 및 기압에 노출 (W85-W99)","계","계",0.7,0.7,0.7,0.5,0.5,0.5,0.4,0.7,0.6,0.5,0.4,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"연기, 불 및 불꽃에 노출 (X00-X09)","계","계",1.5,1.6,1.2,1.5,1.3,1.6,1.7,1.4,1.3,1.7,2.0,1.8,1.9,1.8,1.7,1.3,1.4,1.3,1.3,1.2,1.4,0.8,0.9,0.8,0.6,0.6,0.5,0.6,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4
"과다한 자연 한랭에 노출 (X31)","계","계",0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.6,0.6,0.7,0.5,0.5,0.4,0.5,0.6,0.5,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2
"나머지 자연의 힘에 노출 (Re. X30- X39)","계","계",0.2,0.2,0.2,0.1,0.5,0.1,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.5,0.1,0.1,0.1,0.5,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.3,0.1,0.2,0.1,0.1,0.3,0.2
"약물, 약제 및 생물학적 물질에 의한 불의의 중독 및 노출 (X40-X44)","계","계",0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"화학물 및 독성 물질에 의한 불의의 중독 및 노출 (X45-X49)","계","계",8.1,8.5,8.2,7.7,7.6,6.3,5.3,4.3,4.0,4.0,3.8,3.2,2.8,2.3,2.2,2.4,1.7,0.8,0.7,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.3
"상세불명의 요인에 노출 (X59)","계","계",7.2,7.1,6.7,6.8,7.5,9.1,8.9,7.3,13.5,13.7,9.8,3.9,2.9,2.9,2.9,2.8,1.6,1.1,2.9,1.6,1.1,0.8,0.8,1.1,1.6,2.1,2.2,3.2,3.2,3.7,3.9,4.0,4.1,3.6,3.4,2.6,2.6,2.7,2.6,3.0,3.6,4.0
"살충제에 의한 자의의 중독 및 노출 (X68)","계","계",1.9,2.1,2.4,2.1,2.0,1.7,1.9,1.6,1.4,1.9,2.3,2.2,3.0,3.0,2.6,3.4,3.1,3.2,3.6,5.5,6.9,7.3,6.4,5.6,5.9,5.7,5.5,5.5,5.1,4.2,2.9,2.1,1.9,2.0,1.6,1.6,1.5,1.3,1.4,1.3,1.3,1.2
"목맴, 압박 및 질식에 의한 의도적 자해 (X70)","계","계",1.5,1.9,2.3,2.3,2.2,1.9,2.0,2.1,2.1,2.6,3.1,3.3,3.6,5.3,5.3,7.3,5.1,4.4,4.6,5.5,7.7,8.7,11.2,9.6,12.4,13.0,16.6,17.1,16.7,14.2,14.8,14.1,13.1,13.2,12.7,13.9,13.8,13.4,12.8,12.5,13.5,12.3
"높은 곳에서 뛰어내림에 의한 의도적 자해 (X80)","계","계",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.7,0.9,1.1,1.4,1.5,1.6,1.4,1.4,1.5,2.8,3.5,3.7,3.3,3.0,3.5,3.6,4.3,4.3,4.6,4.7,4.2,3.8,4.1,3.7,3.7,4.4,4.4,4.3,4.8,4.9,5.2,5.3
"나머지 수단에 의한 자해 (Re. X60- X84)","계","계",5.2,4.6,4.6,4.1,3.9,3.6,3.3,3.6,3.5,3.4,3.3,3.1,3.0,3.2,3.8,6.3,5.6,4.8,4.9,4.2,4.6,4.1,3.9,3.7,3.2,3.7,4.6,4.3,5.3,5.1,6.7,7.2,7.4,6.7,6.3,6.8,7.2,6.7,6.9,6.5,7.4,10.3
"목맴, 압박 및 질식에 의한 가해 (X91)","계","계",0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1
"예리한 물체에 의한 가해 (X99)","계","계",0.0,0.1,0.1,0.2,0.2,0.1,0.3,0.6,0.5,0.5,0.6,0.5,0.6,0.7,0.8,0.7,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2
"나머지 수단에 의한 가해 (Re. X85- Y09)","계","계",0.8,0.9,0.7,0.8,0.8,0.9,1.1,0.8,0.9,0.8,0.9,1.0,1.0,1.0,1.1,1.2,1.0,1.1,1.0,0.9,1.0,0.9,0.9,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.3
"의도 미확인 사건 (Y10-Y34)","계","계",0.6,0.4,0.4,0.2,0.4,2.6,4.7,4.5,2.8,1.7,1.2,0.9,0.7,1.1,1.5,1.9,2.5,3.4,3.9,3.2,4.2,4.3,5.0,4.8,4.6,5.5,6.2,5.3,5.2,4.5,4.6,3.9,3.5,3.1,2.9,3.3,3.2,3.2,3.3,4.2,5.0,5.7
"운수사고의 후유증 (Y85)","계","계",0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.7,0.6,0.5,0.5,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"기타 질병이환 및 사망외인의 후유증 (Y86-Y89)","계","계",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.6,0.5,0.6,1.4,1.4,1.1,0.9,0.9,1.2,1.0,0.8,0.7,0.8,0.9,1.1,0.9,0.8,0.9,1.2,1.2,1.5,1.3,1.2,1.2,1.6,1.4,1.6
"나머지 질병이환 및 사망의 외인 (Re. V01- Y89, U12)","계","계",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.2,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.6,0.3,0.3
